Symbol,Date,Buy Time,Sell Time,Qty,Buy Price,Sell Price,Gross PnL,Charges,Net PnL,Exit Reason,E_Sig,E_EMA,E_ROC,E_BBW,X_Sig,X_EMA,X_ROC,X_BBW
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:42:40,2026-01-27 12:42:54,65,63.0,57.75,-341.25,6.98,-348.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:43:36,2026-01-27 12:43:58,65,61.85,61.95,6.500000000000092,7.16,-0.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:44:33,2026-01-27 12:44:39,65,61.85,62.0,9.749999999999908,7.16,2.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:44:52,2026-01-27 12:45:15,65,64.2,66.7,162.5,7.57,154.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:47:33,2026-01-27 12:47:43,65,58.25,60.65,155.99999999999991,6.87,149.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:49:20,2026-01-27 12:49:36,65,71.7,66.45,-341.25,7.99,-349.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:49:47,2026-01-27 12:50:05,65,70.7,73.8,201.49999999999963,8.35,193.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:51:43,2026-01-27 12:52:20,65,64.6,60.15,-289.2499999999997,7.21,-296.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 12:52:29,2026-01-27 12:52:47,65,64.55,59.85,-305.4999999999997,7.19,-312.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:52:57,2026-01-27 12:53:32,65,20.95,21.6,42.25000000000014,2.46,39.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:54:33,2026-01-27 12:55:02,130,23.85,21.6,-292.5,5.26,-297.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:55:22,2026-01-27 12:55:48,130,22.15,23.15,130.0,5.24,124.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25200CE,2026-01-27,2026-01-27 12:59:15,2026-01-27 12:59:28,130,21.95,22.45,65.0,5.13,59.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050PE,2026-01-27,2026-01-27 13:04:20,2026-01-27 13:04:56,65,42.9,39.65,-211.25,4.77,-216.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:08:37,2026-01-27 13:09:09,130,58.0,60.55,331.49999999999966,13.71,317.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:16:53,2026-01-27 13:16:56,130,60.9,61.25,45.500000000000185,14.13,31.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:19:00,2026-01-27 13:19:28,130,57.0,58.3,168.99999999999963,13.33,155.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:21:41,2026-01-27 13:21:53,130,60.12,58.95,-152.09999999999928,13.77,-165.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:22:05,2026-01-27 13:22:31,130,60.3,61.8,195.0,14.12,180.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:23:11,2026-01-27 13:23:28,130,46.4,41.9,-585.0,10.21,-595.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:23:33,2026-01-27 13:23:51,130,44.83,38.5,-822.8999999999997,9.64,-832.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:24:05,2026-01-27 13:24:27,130,40.5,38.75,-227.5,9.16,-236.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:24:54,2026-01-27 13:25:30,130,42.45,41.15,-169.00000000000057,9.67,-178.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100PE,2026-01-27,2026-01-27 13:26:29,2026-01-27 13:26:35,130,54.85,53.2,-214.49999999999983,12.49,-226.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:28:31,2026-01-27 13:28:47,130,42.3,42.4,13.000000000000185,9.79,3.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:29:06,2026-01-27 13:29:21,130,44.0,54.15,1319.4999999999998,11.35,1308.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:30:06,2026-01-27 13:30:22,130,57.25,51.85,-701.9999999999998,12.62,-714.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:30:57,2026-01-27 13:31:07,130,44.92,44.42,-65.0,10.33,-75.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:31:17,2026-01-27 13:31:57,130,48.15,47.25,-116.99999999999982,11.03,-128.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:32:12,2026-01-27 13:32:38,130,53.25,47.55,-741.0000000000003,11.66,-752.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:32:52,2026-01-27 13:33:38,130,51.6,48.5,-403.00000000000017,11.58,-414.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 13:34:05,2026-01-27 13:34:15,130,43.2,45.15,253.49999999999943,10.22,243.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25050PE,2026-01-27,2026-01-27 13:38:53,2026-01-27 13:39:03,130,41.5,45.55,526.4999999999997,10.07,516.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:39:30,2026-01-27 13:39:46,130,36.55,38.55,260.0,8.68,251.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
